8.1,65,9784,ToshirôMifune,7.94,MasayukiMori,8.1,KyôkoKagawa,8.3,AkiraKurosawa,8.09,HideoOguni,8.26,EijirôHisaita,8.3,RyûzôKikushima,8.09,TomoyukiTanaka,7.8,,7.46
7.8,84,6865,FrancoCitti,7.27,FrancaPasut,7.8,SilvanaCorsini,7.85,PierPaoloPasolini,7.36,SergioCitti,7.8,0,0,0,0,AlfredoBini,7.35,,7.46
7.0,90,882,PatrickMcGoohan,7.63,KeithMichell,7.0,BetsyBlair,7.0,BasilDearden,7.33,NelKing,7.0,PaulJarrico,7.0,WilliamShakespeare,7.28,MichaelRelph,7.33,,7.46
7.8,92,18479,DelphineSeyrig,7.47,GiorgioAlbertazzi,7.8,SachaPitoëff,7.8,AlainResnais,7.27,AlainRobbe-Grillet,7.2,0,0,0,0,PierreCourau,7.8,FrancisSeyrig,7.8
6.3,58,1242,BobHope,5.85,LanaTurner,6.3,JanisPaige,6.3,JackArnold,5.9,ValentineDavies,6.3,HalKanter,6.75,VeraCaspary,6.3,,7.39,HenryMancini,7.16
6.8,20,511,DavidNiven,6.74,AlbertoSordi,7.23,AmedeoNazzari,6.85,GuyHamilton,7.25,LucianoVincenzoni,7.76,"""SusoCecchiDAmico""",7.61,AgenoreIncrocci,7.5,,7.39,,7.46
7.6,5,3461,AllenBaron,7.6,MollyMcCarthy,7.6,LarryTucker,7.6,,7.55,WaldoSalt,7.7,0,0,0,0,MerrillS.Brody,7.6,MeyerKupferman,7.6
7.2,65,416,RichardTodd,6.75,RobertMorley,7.35,DudleySutton,7.5,SidneyJ.Furie,7.15,StuartDouglass,7.2,0,0,0,0,,7.39,TheShadows,7.2
7.7,50,154403,AudreyHepburn,7.73,GeorgePeppard,6.67,PatriciaNeal,7.48,BlakeEdwards,7.35,TrumanCapote,7.32,GeorgeAxelrod,7.8,0,0,MartinJurow,7.45,HenryMancini,7.16
7.1,92,683,CarrollBaker,6.4,JamesShigeta,7.1,JamesYagi,7.1,EtiennePérier,6.6,CharlesKaufman,7.1,GwendolenTerasaki,7.1,0,0,JacquesBar,7.1,GeorgesAuric,7.45
7.1,,928,JeanGabin,6.9,MartineCarol,7.1,FrançoiseRosay,7.1,GillesGrangier,7.1,MichelAudiard,7.23,AlbertSimonin,7.5,0,0,,7.39,MichelLegrand,7.23
7.8,84,13325,AudreyHepburn,7.73,ShirleyMacLaine,7.11,JamesGarner,7.08,WilliamWyler,7.7,LillianHellman,7.3,JohnMichaelHayes,7.8,0,0,,7.39,AlexNorth,7.03
7.8,84,8323,SophiaLoren,7.29,Jean-PaulBelmondo,7.32,RafVallone,7.55,VittorioDeSica,7.36,AlbertoMoravia,7.54,CesareZavattini,7.32,0,0,CarloPonti,7.55,ArmandoTrovajoli,7.31
6.6,84,517,RomySchneider,7.29,Jean-LouisTrintignant,7.57,HenriSerre,7.2,AlainCavalier,6.6,Jean-PaulRappeneau,7.0,0,0,0,0,,7.39,SergeNigg,6.6
7.6,,337,VítezslavVejrazka,7.6,MiroslavMachácek,7.35,CestmírRanda,7.5,FrantisekVlácil,7.72,FrantisekA.Dvorák,7.6,MilosVáclavKratochvíl,7.6,AlfredTechnik,7.6,,7.39,ZdenekLiska,7.67
7.1,,4228,EdwardJudd,7.1,JanetMunro,7.15,LeoMcKern,7.3,ValGuest,5.7,WolfMankowitz,7.1,0,0,0,0,,7.39,,7.46
7.6,84,893,AlekseyBatalov,7.97,InnokentiySmoktunovskiy,8.0,TatyanaLavrova,7.6,MikhailRomm,7.6,DaniilKhrabrovitsky,7.6,0,0,0,0,,7.39,DzhonTer-Tatevosyan,7.6
7.8,,8092,Jean-PaulBelmondo,7.32,SergeReggiani,7.8,JeanDesailly,7.63,Jean-PierreMelville,7.87,PierreLesou,7.8,0,0,0,0,GeorgesdeBeauregard,7.47,PaulMisraki,7.8
7.3,,365,HidekoTakamine,7.83,KeijiSada,7.83,TatsuyaNakadai,7.89,KeisukeKinoshita,7.3,,7.37,0,0,0,0,SennosukeTsukimori,7.3,ChûjiKinoshita,8.05
7.5,2,42772,DavidNiven,6.74,GregoryPeck,7.78,AnthonyQuinn,7.74,J.LeeThompson,7.32,AlistairMacLean,7.6,CarlForeman,6.23,0,0,,7.39,DimitriTiomkin,7.5
7.4,,358,OsvaldHelmuth,7.4,EbbeRode,7.4,GunnarLauring,7.4,BentChristensen,7.4,LeifPanduro,7.4,0,0,0,0,PrebenPhilipsen,7.4,NielsRothenborg,7.4
8.0,84,71595,PaulNewman,7.25,JackieGleason,7.6,PiperLaurie,7.5,RobertRossen,8.0,SidneyCarroll,8.0,WalterTevis,8.0,0,0,,7.39,KenyonHopkins,8.0
7.8,114,24373,DeborahKerr,7.8,PeterWyngarde,7.8,MegsJenkins,7.8,JackClayton,7.8,HenryJames,7.37,JohnMortimer,7.8,WilliamArchibald,7.8,,7.39,GeorgesAuric,7.45
8.2,88,63479,SpencerTracy,7.9,BurtLancaster,7.76,RichardWidmark,6.82,StanleyKramer,7.68,AbbyMann,7.5,MontgomeryClift,8.2,0,0,,7.39,ErnestGold,7.93
7.8,92,34167,JeanneMoreau,7.21,OskarWerner,7.53,HenriSerre,7.2,FrançoisTruffaut,7.4,Henri-PierreRoché,7.25,JeanGruault,7.48,0,0,,7.39,GeorgesDelerue,7.34
7.8,0,1316,JoelRinne,7.55,MattiRanin,6.9,LeoJokela,7.55,MattiKassila,7.37,KaarloNuorvala,7.55,MikaWaltari,7.55,0,0,MaunoMäkelä,7.37,OsmoLindeman,7.37
7.0,84,6378,JeffreyHunter,7.0,SiobhanMcKenna,7.0,HurdHatfield,7.0,NicholasRay,6.95,PhilipYordan,7.0,RayBradbury,7.27,0,0,SamuelBronston,7.0,MiklósRózsa,7.35
7.9,84,3210,GanjirôNakamura,7.9,SetsukoHara,8.0,YôkoTsukasa,7.83,YasujirôOzu,8.03,KôgoNoda,8.03,0,0,0,0,SanezumiFujimoto,7.85,ToshirôMayuzumi,7.54
6.4,47,3281,JerryLewis,7.2,HelenTraubel,6.4,PatStanley,6.4,,7.55,BillRichmond,6.4,MelBrooks,6.4,0,0,,7.39,WalterScharf,6.4
7.6,92,4467,AnoukAimée,7.47,MarcMichel,7.7,JacquesHarden,7.6,JacquesDemy,7.32,,7.37,0,0,0,0,GeorgesdeBeauregard,7.47,MichelLegrand,7.23
7.7,89,2532,LucynaWinnicka,7.25,MieczyslawVoit,7.7,AnnaCiepielewska,7.6,JerzyKawalerowicz,7.7,JaroslawIwaszkiewicz,7.6,TadeuszKonwicki,7.7,0,0,,7.39,AdamWalacinski,7.7
7.4,,5752,MargaretRutherford,7.0,ArthurKennedy,7.37,MurielPavlow,7.4,GeorgePollock,7.25,AgathaChristie,7.47,DavidD.Osborn,6.8,DavidPursall,7.25,GeorgeH.Brown,6.8,,7.46
7.0,24,354,JeanCoutu,7.0,ÉmileGenest,7.0,UrielLuft,7.0,JackCouffer,7.0,DwightHauser,7.0,RalphWright,7.65,WinstonHibler,7.0,,7.39,,7.46
8.8,,4236,TatsuyaNakadai,7.89,MichiyoAratama,8.18,TamaoNakamura,8.8,MasakiKobayashi,8.47,ZenzôMatsuyama,8.45,KôichiInagaki,8.8,JumpeiGomikawa,8.8,ShigeruWakatsuki,8.4,ChûjiKinoshita,8.05
6.5,4,576,DannyKaye,6.5,DanaWynter,6.5,WilfridHyde-White,6.83,MelvilleShavelson,6.35,JackRose,6.5,0,0,0,0,,7.39,LeithStevens,6.75
7.9,51,18089,JamesCagney,7.9,HorstBuchholz,7.45,PamelaTiffin,7.9,BillyWilder,7.73,I.A.L.Diamond,7.62,FerencMolnár,7.9,0,0,,7.39,,7.46
8.0,50,2321,Cassen,8.0,JoséLuisLópezVázquez,7.83,ElviraQuintillá,8.0,LuisGarcíaBerlanga,7.83,RafaelAzcona,7.46,JoséLuisColina,8.0,JoséLuisFont,8.0,AlfredoMatas,7.7,MiguelAsinsArbó,7.83
7.2,50,5528,GlennFord,7.1,BetteDavis,7.21,HopeLange,7.1,FrankCapra,7.2,JimmyCannon,7.2,HalKanter,6.75,HarryTugend,7.2,,7.39,,7.46
8.0,,6499,SidneyPoitier,7.44,ClaudiaMcNeil,8.0,RubyDee,7.3,DanielPetrie,7.65,LorraineHansberry,8.0,0,0,0,0,RonaldH.Gilbert,8.0,LaurenceRosenthal,7.97
5.9,92,718,CarolLynley,6.77,JeffChandler,5.9,EleanorParker,6.77,JoséFerrer,5.9,RonaldAlexander,5.9,GraceMetalious,5.9,0,0,JerryWald,5.9,FranzWaxman,5.9
6.5,92,2252,VivienLeigh,6.5,WarrenBeatty,7.42,CoralBrowne,6.7,JoséQuintero,6.5,TennesseeWilliams,6.5,GavinLambert,6.4,JanRead,6.9,LouisDeRochemont,6.5,RichardAddinsell,6.5
8.1,63,3832,EvgeniyMorgunov,8.1,GeorgiyVitsin,8.3,YuriyNikulin,8.18,LeonidGaidai,8.25,KonstantinBrovin,8.1,0,0,0,0,,7.39,NikitaBogoslovskiy,8.1
7.1,0,346,AnatoliyPapanov,8.0,SergeyFilippov,7.7,SerafimAnikeyev,7.1,LeonidGaidai,8.25,EmilBraginskiy,7.87,0,0,0,0,,7.39,,7.46
7.8,92,16449,NatalieWood,7.35,WarrenBeatty,7.42,PatHingle,6.75,EliaKazan,7.8,WilliamInge,7.45,0,0,0,0,,7.39,DavidAmram,7.85
6.4,92,651,TroyDonahue,6.4,DorothyMcGuire,6.9,ConnieStevens,6.4,DelmerDaves,6.15,DorisHume,6.4,0,0,0,0,,7.39,MaxSteiner,6.8
8.1,84,20517,HarrietAndersson,8.07,GunnarBjörnstrand,8.04,MaxvonSydow,7.69,IngmarBergman,7.88,,7.37,0,0,0,0,,7.39,,7.46
8.1,50,1179,AnilChatterjee,8.05,ChandanaBanerjee,8.1,AparnaSen,8.1,SatyajitRay,8.03,RabindranathTagore,7.95,0,0,0,0,,7.39,,7.46
7.5,91,394,AyakoWakao,7.4,HiroshiKawaguchi,7.5,EitarôOzawa,7.5,YasuzôMasumura,7.53,MasatoIde,8.02,MasayaMaruyama,7.5,0,0,,7.39,RiichirôManabe,7.5
7.5,50,13672,AnnaKarina,7.54,Jean-ClaudeBrialy,7.34,Jean-PaulBelmondo,7.32,Jean-LucGodard,7.08,GenevièveCluny,7.5,0,0,0,0,GeorgesdeBeauregard,7.47,MichelLegrand,7.23
7.7,84,4513,DirkBogarde,7.47,SylviaSyms,6.85,DennisPrice,7.6,BasilDearden,7.33,JanetGreen,7.7,JohnMcCormick,7.7,0,0,MichaelRelph,7.33,PhilipGreen,7.5
8.2,84,20228,SilviaPinal,8.1,FranciscoRabal,7.4,FernandoRey,7.83,LuisBuñuel,7.82,JulioAlejandro,7.9,BenitoPérezGaldós,7.85,0,0,GustavoAlatriste,8.1,GustavoPittaluga,8.2
8.0,84,1267,AlbertoSordi,7.23,LeaMassari,7.65,FrancoFabrizi,7.08,DinoRisi,7.25,RodolfoSonego,7.08,0,0,0,0,DinoDeLaurentiis,7.19,CarloSavina,7.3
7.5,65,89831,NatalieWood,7.35,GeorgeChakiris,7.55,RichardBeymer,7.5,JeromeRobbins,7.5,ErnestLehman,7.83,ArthurLaurents,7.3,WilliamShakespeare,7.28,,7.39,LeonardBernstein,7.5
8.2,94,101138,ToshirôMifune,7.94,EijirôTôno,8.2,TatsuyaNakadai,7.89,AkiraKurosawa,8.09,RyûzôKikushima,8.09,0,0,0,0,,7.39,MasaruSatô,7.37
8.0,47,735,OlegBorisov,7.75,MargaritaKrinitsyna,8.0,NikolayYakovchenko,8.0,ViktorIvanov,8.0,MykhailoStarytsky,8.0,0,0,0,0,,7.39,VadimGomolyaka,8.0
7.6,0,65,NicolasYumatov,7.6,ÉtienneLalou,7.6,IgorBarrère,7.6,ChrisMarker,7.86,,7.37,0,0,0,0,PierreBraunberger,7.1,J.Calzada,7.6
